Sample	Input_R1	Input_R2	IP_R1	IP_R2
CPCG0100	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190522_CPC_m6A_MeRIP_11IP_7Input_batch_6/L1-SR18508/InputCPC0100_S6_L001_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190522_CPC_m6A_MeRIP_11IP_7Input_batch_6/L1-SR18508/InputCPC0100_S6_L001_R2_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190412_CPC_m6A_MeRIP_3IP_21Input_batch_4/L1-SR18508/CPC0100_S2_L001_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190412_CPC_m6A_MeRIP_3IP_21Input_batch_4/L1-SR18508/CPC0100_S2_L001_R2_001.fastq.gz
CPCG0183	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190522_CPC_m6A_MeRIP_40Input_batch_5/L2-SR18508/InputCPC0183_S1_L002_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190522_CPC_m6A_MeRIP_40Input_batch_5/L2-SR18508/InputCPC0183_S1_L002_R2_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L1-S07D/RIP-CPCG0183_S8_L001_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L1-S07D/RIP-CPCG0183_S8_L001_R2_001.fastq.gz
CPCG0184	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L2-S07D/INPUT-CPCG0184_S1_L002_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L2-S07D/INPUT-CPCG0184_S1_L002_R2_001.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0184_IP_R1.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0184_IP_R2.fastq.gz
CPCG0191	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L2-S07D/INPUT-CPCG0191_S5_L002_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L2-S07D/INPUT-CPCG0191_S5_L002_R2_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L2-S07D/RIP-CPCG0191_S7_L002_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L2-S07D/RIP-CPCG0191_S7_L002_R2_001.fastq.gz
CPCG0192	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200228_X3_BH7HGHCCX2/L5-S07D/INPUT-CPCG0192_S5_L005_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200228_X3_BH7HGHCCX2/L5-S07D/INPUT-CPCG0192_S5_L005_R2_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L1-S07D/RIP-CPCG0192_S5_L001_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L1-S07D/RIP-CPCG0192_S5_L001_R2_001.fastq.gz
CPCG0196	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190522_CPC_m6A_MeRIP_11IP_7Input_batch_6/L1-SR18508/InputCPC0196_S7_L001_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190522_CPC_m6A_MeRIP_11IP_7Input_batch_6/L1-SR18508/InputCPC0196_S7_L001_R2_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190412_CPC_m6A_MeRIP_3IP_21Input_batch_4/L1-SR18508/CPC0196_S3_L001_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190412_CPC_m6A_MeRIP_3IP_21Input_batch_4/L1-SR18508/CPC0196_S3_L001_R2_001.fastq.gz
CPCG0208	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/191024_CPC_m6A_MeRIP_16IP_16Input_batch_8/S97M_20191024_X5_BH2MVHCCX2/L5-S97M/INPUT-CPCG0208_S1_L005_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/191024_CPC_m6A_MeRIP_16IP_16Input_batch_8/S97M_20191024_X5_BH2MVHCCX2/L5-S97M/INPUT-CPCG0208_S1_L005_R2_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/191024_CPC_m6A_MeRIP_16IP_16Input_batch_8/S97M_20191024_X5_BH2MVHCCX2/L6-S97M/RIP-CPCG0208_S1_L006_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/191024_CPC_m6A_MeRIP_16IP_16Input_batch_8/S97M_20191024_X5_BH2MVHCCX2/L6-S97M/RIP-CPCG0208_S1_L006_R2_001.fastq.gz
CPCG0235	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_BHW7Y2CCXY/L1-SR18508/InputCPC0235_S1_L001_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_BHW7Y2CCXY/L1-SR18508/InputCPC0235_S1_L001_R2_001.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0235_IP_R1.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0235_IP_R2.fastq.gz
CPCG0236	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_BHW7Y2CCXY/L1-SR18508/InputCPC0236_S2_L001_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_BHW7Y2CCXY/L1-SR18508/InputCPC0236_S2_L001_R2_001.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0236_IP_R1.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0236_IP_R2.fastq.gz
CPCG0241	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190412_CPC_m6A_MeRIP_3IP_21Input_batch_4/L1-SR18508/InputCPC0241_S4_L001_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190412_CPC_m6A_MeRIP_3IP_21Input_batch_4/L1-SR18508/InputCPC0241_S4_L001_R2_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190102_CPC_m6A_MeRIP_5IP_batch_1/CPC0241_S1_L006_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190102_CPC_m6A_MeRIP_5IP_batch_1/CPC0241_S1_L006_R2_001.fastq.gz
